물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
7,주석(99.85%이상),"부산,인천,대구,전북",52560000,6톤/주 ,2025-08-26
8,주석(99.90%이상),"부산,인천,대구,전북",52950000,4톤/주 ,2025-08-26
9,니켈(합금용),"부산,인천,대구",24610000,5톤/주 ,2025-08-26
10,니켈(도금용),"부산,인천",24990000,3톤/주,2025-08-26
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4310000,통합50톤/주,2025-08-25
2,알루미늄(비서구산),"부산,인천,대구,전북",4300000,통합50톤/주,2025-08-25
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15300000,50톤/주 ,2025-08-25
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-08-25
5,납(99.99%이상),전북,3160000,200톤/주 ,2025-08-25
6,아연,"부산,인천,대구,전북",4600000,15톤/주 ,2025-08-25
7,주석(99.85%이상),"부산,인천,대구,전북",52880000,6톤/주 ,2025-08-25
8,주석(99.90%이상),"부산,인천,대구,전북",53280000,4톤/주 ,2025-08-25
9,니켈(합금용),"부산,인천,대구",24760000,5톤/주 ,2025-08-25
10,니켈(도금용),"부산,인천",25140000,3톤/주,2025-08-25
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4260000,통합50톤/주,2025-08-22
2,알루미늄(비서구산),"부산,인천,대구,전북",4250000,통합50톤/주,2025-08-22
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15250000,50톤/주 ,2025-08-22
4,납(99.99%이상),"인천,대구,부산",3210000,200톤/주 ,2025-08-22
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-08-22
6,아연,"부산,인천,대구,전북",4530000,15톤/주 ,2025-08-22
7,주석(99.85%이상),"부산,인천,대구,전북",52400000,6톤/주 ,2025-08-22
8,주석(99.90%이상),"부산,인천,대구,전북",52800000,4톤/주 ,2025-08-22
9,니켈(합금용),"부산,인천,대구",24570000,5톤/주 ,2025-08-22
10,니켈(도금용),"부산,인천",24960000,3톤/주,2025-08-22
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-08-21
2,알루미늄(비서구산),"부산,인천,대구,전북",4240000,통합50톤/주,2025-08-21
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15220000,50톤/주 ,2025-08-21
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-08-21
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-08-21
6,아연,"부산,인천,대구,전북",4560000,15톤/주 ,2025-08-21
7,주석(99.85%이상),"부산,인천,대구,전북",52800000,6톤/주 ,2025-08-21
8,주석(99.90%이상),"부산,인천,대구,전북",53200000,4톤/주 ,2025-08-21
9,니켈(합금용),"부산,인천,대구",24680000,5톤/주 ,2025-08-21
10,니켈(도금용),"부산,인천",25070000,3톤/주,2025-08-21
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4200000,통합50톤/주,2025-08-20
2,알루미늄(비서구산),"부산,인천,대구,전북",4190000,통합50톤/주,2025-08-20
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15090000,50톤/주 ,2025-08-20
4,납(99.99%이상),"인천,대구,부산",3190000,200톤/주 ,2025-08-20
5,납(99.99%이상),전북,3110000,200톤/주 ,2025-08-20
6,아연,"부산,인천,대구,전북",4500000,15톤/주 ,2025-08-20
7,주석(99.85%이상),"부산,인천,대구,전북",52900000,6톤/주 ,2025-08-20
8,주석(99.90%이상),"부산,인천,대구,전북",53300000,4톤/주 ,2025-08-20
9,니켈(합금용),"부산,인천,대구",24530000,5톤/주 ,2025-08-20
10,니켈(도금용),"부산,인천",24910000,3톤/주,2025-08-20
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4230000,통합50톤/주,2025-08-19
